,timestamp,time,KRW,volumeto
113,2018-01-16 01:00:00,1516032000,0.0,0.0
114,2018-01-16 02:00:00,1516035600,0.0,0.0
115,2018-01-16 03:00:00,1516039200,0.0,0.0
116,2018-01-16 04:00:00,1516042800,0.0,0.0
117,2018-01-16 05:00:00,1516046400,0.0,0.0
118,2018-01-16 06:00:00,1516050000,0.0,0.0
119,2018-01-16 07:00:00,1516053600,0.0,0.0
120,2018-01-16 08:00:00,1516057200,0.0,0.0
121,2018-01-16 09:00:00,1516060800,0.0,0.0
122,2018-01-16 10:00:00,1516064400,0.0,0.0
123,2018-01-16 11:00:00,1516068000,0.0,0.0
124,2018-01-16 12:00:00,1516071600,0.0,0.0
125,2018-01-16 13:00:00,1516075200,0.0,0.0
126,2018-01-16 14:00:00,1516078800,0.0,0.0
127,2018-01-16 15:00:00,1516082400,0.0,0.0
128,2018-01-16 16:00:00,1516086000,0.0,0.0
129,2018-01-16 17:00:00,1516089600,0.0,0.0
130,2018-01-16 18:00:00,1516093200,0.0,0.0
131,2018-01-16 19:00:00,1516096800,0.0,0.0
132,2018-01-16 20:00:00,1516100400,0.0,0.0
133,2018-01-16 21:00:00,1516104000,0.0,0.0
134,2018-01-16 22:00:00,1516107600,0.0,0.0
135,2018-01-16 23:00:00,1516111200,0.0,0.0
136,2018-01-17 00:00:00,1516114800,0.0,0.0
137,2018-01-17 01:00:00,1516118400,0.0,0.0
138,2018-01-17 02:00:00,1516122000,0.0,0.0
139,2018-01-17 03:00:00,1516125600,0.0,0.0
140,2018-01-17 04:00:00,1516129200,0.0,0.0
141,2018-01-17 05:00:00,1516132800,0.0,0.0
142,2018-01-17 06:00:00,1516136400,0.0,0.0
143,2018-01-17 07:00:00,1516140000,0.0,0.0
144,2018-01-17 08:00:00,1516143600,0.0,0.0
145,2018-01-17 09:00:00,1516147200,0.0,0.0
146,2018-01-17 10:00:00,1516150800,0.0,0.0
147,2018-01-17 11:00:00,1516154400,0.0,0.0
148,2018-01-17 12:00:00,1516158000,0.0,0.0
149,2018-01-17 13:00:00,1516161600,0.0,0.0
150,2018-01-17 14:00:00,1516165200,0.0,0.0
151,2018-01-17 15:00:00,1516168800,0.0,0.0
152,2018-01-17 16:00:00,1516172400,0.0,0.0
153,2018-01-17 17:00:00,1516176000,0.0,0.0
154,2018-01-17 18:00:00,1516179600,0.0,0.0
155,2018-01-17 19:00:00,1516183200,0.0,0.0
156,2018-01-17 20:00:00,1516186800,0.0,0.0
157,2018-01-17 21:00:00,1516190400,0.0,0.0
158,2018-01-17 22:00:00,1516194000,0.0,0.0
159,2018-01-17 23:00:00,1516197600,0.0,0.0
160,2018-01-18 00:00:00,1516201200,0.0,0.0
161,2018-01-18 01:00:00,1516204800,0.0,0.0
162,2018-01-18 02:00:00,1516208400,0.0,0.0
163,2018-01-18 03:00:00,1516212000,0.0,0.0
164,2018-01-18 04:00:00,1516215600,0.0,0.0
165,2018-01-18 05:00:00,1516219200,0.0,0.0
166,2018-01-18 06:00:00,1516222800,0.0,0.0
167,2018-01-18 07:00:00,1516226400,0.0,0.0
168,2018-01-18 08:00:00,1516230000,0.0,0.0
169,2018-01-18 09:00:00,1516233600,0.0,0.0
170,2018-01-18 10:00:00,1516237200,0.0,0.0
171,2018-01-18 11:00:00,1516240800,0.0,0.0
172,2018-01-18 12:00:00,1516244400,0.0,0.0
173,2018-01-18 13:00:00,1516248000,0.0,0.0
174,2018-01-18 14:00:00,1516251600,0.0,0.0
175,2018-01-18 15:00:00,1516255200,0.0,0.0
176,2018-01-18 16:00:00,1516258800,0.0,0.0
177,2018-01-18 17:00:00,1516262400,0.0,0.0
178,2018-01-18 18:00:00,1516266000,0.0,0.0
179,2018-01-18 19:00:00,1516269600,0.0,0.0
180,2018-01-18 20:00:00,1516273200,0.0,0.0
181,2018-01-18 21:00:00,1516276800,0.0,0.0
182,2018-01-18 22:00:00,1516280400,0.0,0.0
183,2018-01-18 23:00:00,1516284000,0.0,0.0
184,2018-01-19 00:00:00,1516287600,0.0,0.0
185,2018-01-19 01:00:00,1516291200,0.0,0.0
