,close,high,low,open,time,volumefrom,volumeto,timestamp
0,0.0,0.0,0,0,1513875600,0,0,2017-12-22 02:00:00
1,0.0,0.0,0,0,1513879200,0,0,2017-12-22 03:00:00
2,0.0,0.0,0,0,1513882800,0,0,2017-12-22 04:00:00
3,0.0,0.0,0,0,1513886400,0,0,2017-12-22 05:00:00
4,0.0,0.0,0,0,1513890000,0,0,2017-12-22 06:00:00
5,0.0,0.0,0,0,1513893600,0,0,2017-12-22 07:00:00
6,0.0,0.0,0,0,1513897200,0,0,2017-12-22 08:00:00
7,0.0,0.0,0,0,1513900800,0,0,2017-12-22 09:00:00
8,0.0,0.0,0,0,1513904400,0,0,2017-12-22 10:00:00
9,0.0,0.0,0,0,1513908000,0,0,2017-12-22 11:00:00
10,0.0,0.0,0,0,1513911600,0,0,2017-12-22 12:00:00
11,0.0,0.0,0,0,1513915200,0,0,2017-12-22 13:00:00
12,0.0,0.0,0,0,1513918800,0,0,2017-12-22 14:00:00
13,0.0,0.0,0,0,1513922400,0,0,2017-12-22 15:00:00
14,0.0,0.0,0,0,1513926000,0,0,2017-12-22 16:00:00
15,0.0,0.0,0,0,1513929600,0,0,2017-12-22 17:00:00
16,0.0,0.0,0,0,1513933200,0,0,2017-12-22 18:00:00
17,0.0,0.0,0,0,1513936800,0,0,2017-12-22 19:00:00
18,0.0,0.0,0,0,1513940400,0,0,2017-12-22 20:00:00
19,0.0,0.0,0,0,1513944000,0,0,2017-12-22 21:00:00
20,0.0,0.0,0,0,1513947600,0,0,2017-12-22 22:00:00
21,0.0,0.0,0,0,1513951200,0,0,2017-12-22 23:00:00
22,0.0,0.0,0,0,1513954800,0,0,2017-12-23 00:00:00
23,0.0,0.0,0,0,1513958400,0,0,2017-12-23 01:00:00
24,0.0,0.0,0,0,1513962000,0,0,2017-12-23 02:00:00
25,0.0,0.0,0,0,1513965600,0,0,2017-12-23 03:00:00
26,0.0,0.0,0,0,1513969200,0,0,2017-12-23 04:00:00
27,0.0,0.0,0,0,1513972800,0,0,2017-12-23 05:00:00
28,0.0,0.0,0,0,1513976400,0,0,2017-12-23 06:00:00
29,0.0,0.0,0,0,1513980000,0,0,2017-12-23 07:00:00
30,0.0,0.0,0,0,1513983600,0,0,2017-12-23 08:00:00
31,0.0,0.0,0,0,1513987200,0,0,2017-12-23 09:00:00
32,0.0,0.0,0,0,1513990800,0,0,2017-12-23 10:00:00
33,0.0,0.0,0,0,1513994400,0,0,2017-12-23 11:00:00
34,0.0,0.0,0,0,1513998000,0,0,2017-12-23 12:00:00
35,0.0,0.0,0,0,1514001600,0,0,2017-12-23 13:00:00
36,0.0,0.0,0,0,1514005200,0,0,2017-12-23 14:00:00
37,0.0,0.0,0,0,1514008800,0,0,2017-12-23 15:00:00
38,0.0,0.0,0,0,1514012400,0,0,2017-12-23 16:00:00
39,0.0,0.0,0,0,1514016000,0,0,2017-12-23 17:00:00
40,0.0,0.0,0,0,1514019600,0,0,2017-12-23 18:00:00
41,0.0,0.0,0,0,1514023200,0,0,2017-12-23 19:00:00
42,0.0,0.0,0,0,1514026800,0,0,2017-12-23 20:00:00
43,0.0,0.0,0,0,1514030400,0,0,2017-12-23 21:00:00
44,0.0,0.0,0,0,1514034000,0,0,2017-12-23 22:00:00
45,0.0,0.0,0,0,1514037600,0,0,2017-12-23 23:00:00
46,0.0,0.0,0,0,1514041200,0,0,2017-12-24 00:00:00
47,0.0,0.0,0,0,1514044800,0,0,2017-12-24 01:00:00
48,0.0,0.0,0,0,1514048400,0,0,2017-12-24 02:00:00
49,0.0,0.0,0,0,1514052000,0,0,2017-12-24 03:00:00
50,0.0,0.0,0,0,1514055600,0,0,2017-12-24 04:00:00
51,0.0,0.0,0,0,1514059200,0,0,2017-12-24 05:00:00
52,0.0,0.0,0,0,1514062800,0,0,2017-12-24 06:00:00
53,0.0,0.0,0,0,1514066400,0,0,2017-12-24 07:00:00
54,0.0,0.0,0,0,1514070000,0,0,2017-12-24 08:00:00
55,0.0,0.0,0,0,1514073600,0,0,2017-12-24 09:00:00
56,0.0,0.0,0,0,1514077200,0,0,2017-12-24 10:00:00
57,0.0,0.0,0,0,1514080800,0,0,2017-12-24 11:00:00
58,0.0,0.0,0,0,1514084400,0,0,2017-12-24 12:00:00
59,0.0,0.0,0,0,1514088000,0,0,2017-12-24 13:00:00
60,0.0,0.0,0,0,1514091600,0,0,2017-12-24 14:00:00
61,0.0,0.0,0,0,1514095200,0,0,2017-12-24 15:00:00
62,0.0,0.0,0,0,1514098800,0,0,2017-12-24 16:00:00
63,0.0,0.0,0,0,1514102400,0,0,2017-12-24 17:00:00
